Title,Book category,Star rating,Price,Stock,Quantity
A Light in the Attic,Poetry,Three,51.77,Out of stock,0
Tipping the Velvet,Historical Fiction,One,53.74,In stock,20
Soumission,Fiction,One,50.1,In stock,20
Sharp Objects,Mystery,Four,47.82,Out of stock,0
Sapiens A Brief History of Humankind,History,Five,54.23,Out of stock,0
The Dirty Little Secrets of Getting Your Dream Job,Business,Four,33.34,Out of stock,0
The Black Maria,Poetry,One,52.15,In stock,19
Shakespeare's Sonnets,Poetry,Four,20.66,Out of stock,0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,Five,52.29,In stock,19
Rip it Up and Start Again,Music,Five,35.02,In stock,19
"Our Band Could Be Your Life Scenes from the American Indie Underground; 1981-1991",Music,Three,57.25,In stock,19
Olio,Poetry,One,23.88,In stock,19
Mesaerion The Best Science Fiction Stories 1800-1849,Science Fiction,One,37.59,Out of stock,0
Libertarianism for Beginners,Politics,Two,51.33,In stock,19
It's Only the Himalayas,Travel,Two,45.17,Out of stock,0
In Her Wake,Thriller,One,12.84,In stock,19
How Music Works,Music,Two,37.32,In stock,19
"Foolproof Preserving A Guide to Small Batch Jams; Jellies; Pickles; Condiments; and More A Foolproof Guide to Making Small Batch Jams; Jellies; Pickles; Condiments; and More",Food and Drink,Three,30.52,Out of stock,0
Chase Me (Paris Nights #2),Romance,Five,25.27,In stock,19
Black Dust,Romance,Five,34.53,In stock,19
Birdsong A Story in Pictures,Childrens,Three,54.64,Out of stock,0
Worlds Elsewhere Journeys Around Shakespeares Globe,Nonfiction,Five,40.3,Out of stock,0
Wall and Piece,Art,Four,44.18,Out of stock,0
The Four Agreements A Practical Guide to Personal Freedom,Spirituality,Five,17.66,Out of stock,0
The Five Love Languages How to Express Heartfelt Commitment to Your Mate,Nonfiction,Three,31.05,Out of stock,0
The Elephant Tree,Thriller,Five,23.82,In stock,18
The Bear and the Piano,Childrens,One,36.89,Out of stock,0
Sophie's World,Philosophy,Five,15.94,Out of stock,0
"In a Dark; Dark Wood",Mystery,One,19.63,In stock,18
Behind Closed Doors,Thriller,Four,52.22,In stock,18
You can't bury them all Poems,Poetry,Two,33.63,Out of stock,0
Slow States of Collapse Poems,Poetry,Three,57.31,In stock,17
Reasons to Stay Alive,Nonfiction,Two,26.41,In stock,17
